#RowID, new target code, new target name
1113894,186431008,Clostridium difficile infection (disorder)
1543810,186431008,Clostridium difficile infection (disorder)
2239011,186431008,Clostridium difficile infection (disorder)
2610270,186431008,Clostridium difficile infection (disorder)
4085294,186431008,Clostridium difficile infection (disorder)
101571,186431008,Clostridium difficile infection (disorder)
519597,186431008,Clostridium difficile infection (disorder)
820454,186431008,Clostridium difficile infection (disorder)
1193731,186431008,Clostridium difficile infection (disorder)
1459621,186431008,Clostridium difficile infection (disorder)
1525018,186431008,Clostridium difficile infection (disorder)
1749701,186431008,Clostridium difficile infection (disorder)
2033950,186431008,Clostridium difficile infection (disorder)
2343980,186431008,Clostridium difficile infection (disorder)
2427850,186431008,Clostridium difficile infection (disorder)
2585732,186431008,Clostridium difficile infection (disorder)
3022844,186431008,Clostridium difficile infection (disorder)
3083942,186431008,Clostridium difficile infection (disorder)
3312294,186431008,Clostridium difficile infection (disorder)
3381626,186431008,Clostridium difficile infection (disorder)
3521709,186431008,Clostridium difficile infection (disorder)
3522220,186431008,Clostridium difficile infection (disorder)
581640,186431008,Clostridium difficile infection (disorder)
259728,186431008,Clostridium difficile infection (disorder)
2104071,186431008,Clostridium difficile infection (disorder)
2104640,186431008,Clostridium difficile infection (disorder)
106919,186431008,Clostridium difficile infection (disorder)
195844,186431008,Clostridium difficile infection (disorder)
1109188,186431008,Clostridium difficile infection (disorder)
1155662,186431008,Clostridium difficile infection (disorder)
1357473,186431008,Clostridium difficile infection (disorder)
1534646,186431008,Clostridium difficile infection (disorder)
1625354,186431008,Clostridium difficile infection (disorder)
1680680,186431008,Clostridium difficile infection (disorder)
2213687,186431008,Clostridium difficile infection (disorder)
196268,186431008,Clostridium difficile infection (disorder)
2233158,186431008,Clostridium difficile infection (disorder)
2433164,186431008,Clostridium difficile infection (disorder)
2517008,186431008,Clostridium difficile infection (disorder)
2541342,186431008,Clostridium difficile infection (disorder)
2708672,186431008,Clostridium difficile infection (disorder)
2780431,186431008,Clostridium difficile infection (disorder)
2780435,186431008,Clostridium difficile infection (disorder)
2780450,186431008,Clostridium difficile infection (disorder)
2780534,186431008,Clostridium difficile infection (disorder)
2780538,186431008,Clostridium difficile infection (disorder)
2780546,186431008,Clostridium difficile infection (disorder)
2916313,186431008,Clostridium difficile infection (disorder)
3080490,186431008,Clostridium difficile infection (disorder)
3874752,186431008,Clostridium difficile infection (disorder)
4032347,186431008,Clostridium difficile infection (disorder)
4088115,186431008,Clostridium difficile infection (disorder)
681208,186431008,Clostridium difficile infection (disorder)
884614,186431008,Clostridium difficile infection (disorder)
2321431,186431008,Clostridium difficile infection (disorder)
2449873,186431008,Clostridium difficile infection (disorder)
3202971,186431008,Clostridium difficile infection (disorder)
2896950,186431008,Clostridium difficile infection (disorder)
59378,186431008,Clostridium difficile infection (disorder)
1800514,186431008,Clostridium difficile infection (disorder)
2632315,186431008,Clostridium difficile infection (disorder)
3548858,186431008,Clostridium difficile infection (disorder)
4034553,186431008,Clostridium difficile infection (disorder)
t621487,186431008,Clostridium difficile infection (disorder)
t621489,186431008,Clostridium difficile infection (disorder)
t627683,186431008,Clostridium difficile infection (disorder)
t3112034,186431008,Clostridium difficile infection (disorder)
t3112042,186431008,Clostridium difficile infection (disorder)
t301126,186431008,Clostridium difficile infection (disorder)
t2214668,186431008,Clostridium difficile infection (disorder)
t2337871,186431008,Clostridium difficile infection (disorder)
t2528044,186431008,Clostridium difficile infection (disorder)
t2602999,186431008,Clostridium difficile infection (disorder)
t2824547,186431008,Clostridium difficile infection (disorder)
t388598,186431008,Clostridium difficile infection (disorder)
t3755698,186431008,Clostridium difficile infection (disorder)
t4023489,186431008,Clostridium difficile infection (disorder)
t750212,186431008,Clostridium difficile infection (disorder)
t1593322,186431008,Clostridium difficile infection (disorder)
t1692728,186431008,Clostridium difficile infection (disorder)
t1817352,186431008,Clostridium difficile infection (disorder)
563,186431008,Clostridium difficile infection (disorder)
90691,186431008,Clostridium difficile infection (disorder)
246964,186431008,Clostridium difficile infection (disorder)
1285859,186431008,Clostridium difficile infection (disorder)
2459058,186431008,Clostridium difficile infection (disorder)
361879,186431008,Clostridium difficile infection (disorder)
2786786,186431008,Clostridium difficile infection (disorder)
1188479,186431008,Clostridium difficile infection (disorder)
2127371,186431008,Clostridium difficile infection (disorder)
2409757,186431008,Clostridium difficile infection (disorder)
3326888,186431008,Clostridium difficile infection (disorder)
3592321,186431008,Clostridium difficile infection (disorder)
3885918,186431008,Clostridium difficile infection (disorder)
4200919,186431008,Clostridium difficile infection (disorder)
t1252236,186431008,Clostridium difficile infection (disorder)
t1252557,186431008,Clostridium difficile infection (disorder)
t1573611,186431008,Clostridium difficile infection (disorder)
t2466931,186431008,Clostridium difficile infection (disorder)
t432633,186431008,Clostridium difficile infection (disorder)
t434866,186431008,Clostridium difficile infection (disorder)
t3098582,186431008,Clostridium difficile infection (disorder)
t3536695,186431008,Clostridium difficile infection (disorder)
t524891,186431008,Clostridium difficile infection (disorder)
t1334852,186431008,Clostridium difficile infection (disorder)
t1421527,186431008,Clostridium difficile infection (disorder)
t2549294,186431008,Clostridium difficile infection (disorder)
t2631770,186431008,Clostridium difficile infection (disorder)
t3036524,186431008,Clostridium difficile infection (disorder)
t274910,186431008,Clostridium difficile infection (disorder)
t3945480,186431008,Clostridium difficile infection (disorder)
t3945637,186431008,Clostridium difficile infection (disorder)
t4204685,186431008,Clostridium difficile infection (disorder)
t3708034,186431008,Clostridium difficile infection (disorder)
278553,186431008,Clostridium difficile infection (disorder)
671996,186431008,Clostridium difficile infection (disorder)
783637,186431008,Clostridium difficile infection (disorder)
1822956,186431008,Clostridium difficile infection (disorder)
2041496,186431008,Clostridium difficile infection (disorder)
2263279,186431008,Clostridium difficile infection (disorder)
2277786,186431008,Clostridium difficile infection (disorder)
2927452,186431008,Clostridium difficile infection (disorder)
3659561,186431008,Clostridium difficile infection (disorder)
3676059,186431008,Clostridium difficile infection (disorder)
4033079,186431008,Clostridium difficile infection (disorder)
986785,186431008,Clostridium difficile infection (disorder)
1839689,186431008,Clostridium difficile infection (disorder)
1839827,186431008,Clostridium difficile infection (disorder)
1841038,186431008,Clostridium difficile infection (disorder)
3187316,186431008,Clostridium difficile infection (disorder)
1937345,186431008,Clostridium difficile infection (disorder)
